timestamps,open,high,low,close,volume,amount
2024/8/20 10:40,10.3,10.31,10.29,10.31,793,817286
2024/8/20 10:45,10.3,10.32,10.29,10.3,2159,2224792
2024/8/20 10:50,10.3,10.3,10.29,10.29,736,757836
2024/8/20 10:55,10.29,10.3,10.29,10.29,727,748439
2024/8/20 11:00,10.29,10.3,10.28,10.29,962,990032
2024/8/20 11:05,10.29,10.33,10.28,10.32,2639,2719803
2024/8/20 11:10,10.31,10.35,10.31,10.33,1603,1655620
2024/8/20 11:15,10.34,10.36,10.32,10.35,1634,1690239
2024/8/20 11:20,10.35,10.35,10.32,10.33,579,598345
2024/8/20 11:25,10.32,10.33,10.3,10.32,736,759504
2024/8/20 11:30,10.32,10.33,10.3,10.31,528,544606
2024/8/20 13:05,10.31,10.37,10.3,10.35,2028,2098114
2024/8/20 13:10,10.35,10.36,10.33,10.35,599,619513
2024/8/20 13:15,10.35,10.38,10.34,10.35,1047,1084930
2024/8/20 13:20,10.34,10.36,10.34,10.34,289,299019
2024/8/20 13:25,10.34,10.37,10.34,10.37,1791,1854786
2024/8/20 13:30,10.37,10.37,10.35,10.35,478,495143
2024/8/20 13:35,10.35,10.35,10.33,10.34,281,290647
2024/8/20 13:40,10.35,10.36,10.34,10.34,513,530869
2024/8/20 13:45,10.33,10.34,10.32,10.32,427,441138
2024/8/20 13:50,10.33,10.34,10.31,10.34,581,599869
2024/8/20 13:55,10.34,10.34,10.32,10.32,383,395651
2024/8/20 14:00,10.33,10.36,10.32,10.33,929,960741
2024/8/20 14:05,10.33,10.33,10.31,10.32,580,598531
2024/8/20 14:10,10.32,10.33,10.31,10.31,287,296157
2024/8/20 14:15,10.32,10.32,10.31,10.31,489,504329
2024/8/20 14:20,10.31,10.33,10.3,10.32,867,894207
2024/8/20 14:25,10.33,10.33,10.31,10.31,658,679007
2024/8/20 14:30,10.32,10.34,10.31,10.34,870,898517
2024/8/20 14:35,10.35,10.36,10.32,10.33,529,546893
2024/8/20 14:40,10.33,10.36,10.33,10.35,598,618682
2024/8/20 14:45,10.34,10.35,10.33,10.34,643,664936
2024/8/20 14:50,10.34,10.35,10.33,10.34,966,998519
2024/8/20 14:55,10.34,10.35,10.33,10.35,1380,1426480
2024/8/20 15:00,10.34,10.36,10.34,10.34,1083,1120146
2024/8/21 9:35,10.3,10.37,10.23,10.3,4412,4540566
2024/8/21 9:40,10.3,10.35,10.3,10.34,1071,1105920
2024/8/21 9:45,10.34,10.41,10.33,10.4,1828,1896882
2024/8/21 9:50,10.4,10.41,10.37,10.39,1048,1089150
2024/8/21 9:55,10.38,10.38,10.34,10.37,897,929287
2024/8/21 10:00,10.36,10.37,10.33,10.34,608,629205
2024/8/21 10:05,10.33,10.36,10.33,10.35,897,927618
2024/8/21 10:10,10.35,10.36,10.34,10.35,311,321839
2024/8/21 10:15,10.35,10.36,10.34,10.35,315,326036
2024/8/21 10:20,10.34,10.37,10.34,10.37,562,582032
2024/8/21 10:25,10.37,10.38,10.35,10.36,637,660163
2024/8/21 10:30,10.34,10.35,10.32,10.32,616,636956
2024/8/21 10:35,10.33,10.34,10.3,10.31,1360,1403491
2024/8/21 10:40,10.32,10.34,10.29,10.29,743,766543
2024/8/21 10:45,10.29,10.31,10.29,10.3,380,391304
2024/8/21 10:50,10.3,10.31,10.29,10.29,534,549974
2024/8/21 10:55,10.29,10.31,10.27,10.29,1478,1520742
2024/8/21 11:00,10.29,10.34,10.28,10.33,1447,1492192
2024/8/21 11:05,10.31,10.37,10.3,10.33,1059,1095330
2024/8/21 11:10,10.32,10.33,10.32,10.32,240,247699
2024/8/21 11:15,10.33,10.33,10.31,10.31,313,322842
2024/8/21 11:20,10.33,10.33,10.29,10.31,303,312177
2024/8/21 11:25,10.3,10.3,10.29,10.29,265,272740
2024/8/21 11:30,10.3,10.3,10.29,10.3,168,172887
2024/8/21 13:05,10.29,10.29,10.27,10.29,888,913207
2024/8/21 13:10,10.28,10.29,10.25,10.27,1394,1431181
2024/8/21 13:15,10.26,10.27,10.24,10.24,1229,1260133
2024/8/21 13:20,10.24,10.26,10.24,10.24,1142,1170053
2024/8/21 13:25,10.24,10.25,10.22,10.24,1476,1510011
2024/8/21 13:30,10.23,10.24,10.23,10.24,2004,2051754
2024/8/21 13:35,10.23,10.25,10.23,10.23,2243,2296830
2024/8/21 13:40,10.23,10.24,10.22,10.22,1147,1173538
2024/8/21 13:45,10.22,10.24,10.22,10.23,404,413329
2024/8/21 13:50,10.23,10.24,10.22,10.23,692,707924
2024/8/21 13:55,10.23,10.25,10.23,10.25,961,984258
2024/8/21 14:00,10.24,10.25,10.24,10.24,279,286089
2024/8/21 14:05,10.24,10.25,10.23,10.24,1036,1060365
2024/8/21 14:10,10.25,10.25,10.24,10.24,459,470190
2024/8/21 14:15,10.24,10.25,10.24,10.24,388,397448
2024/8/21 14:20,10.24,10.25,10.23,10.24,931,953123
2024/8/21 14:25,10.24,10.24,10.22,10.22,1216,1243922
2024/8/21 14:30,10.22,10.23,10.22,10.22,970,991532
2024/8/21 14:35,10.23,10.23,10.21,10.21,1529,1562363
2024/8/21 14:40,10.21,10.22,10.2,10.2,2054,2096328
2024/8/21 14:45,10.21,10.22,10.2,10.21,804,820753
2024/8/21 14:50,10.21,10.22,10.2,10.21,1680,1714892
2024/8/21 14:55,10.2,10.22,10.2,10.21,4058,4139661
2024/8/21 15:00,10.2,10.21,10.2,10.21,1115,1137838
2024/8/22 9:35,10.21,10.24,10.14,10.15,5045,5139720
2024/8/22 9:40,10.15,10.16,10.1,10.12,3488,3531394
2024/8/22 9:45,10.11,10.13,10.07,10.12,6049,6110364
2024/8/22 9:50,10.12,10.12,10.08,10.09,4325,4365599
2024/8/22 9:55,10.08,10.09,10.06,10.07,3752,3779795
2024/8/22 10:00,10.06,10.07,10.03,10.03,3966,3984805
2024/8/22 10:05,10.04,10.04,10.02,10.03,2473,2480066
2024/8/22 10:10,10.03,10.04,10.03,10.04,767,769780
2024/8/22 10:15,10.04,10.04,10,10,3760,3767976
2024/8/22 10:20,10,10.01,9.98,10,4364,4361331
2024/8/22 10:25,10,10.01,9.98,9.99,2134,2132824
2024/8/22 10:30,9.99,9.99,9.97,9.99,2012,2008437
2024/8/22 10:35,9.99,10,9.97,10,2220,2216576
2024/8/22 10:40,9.99,9.99,9.97,9.97,1855,1851418
2024/8/22 10:45,9.97,10.01,9.96,9.97,4110,4100874
2024/8/22 10:50,9.98,9.98,9.91,9.93,3399,3379448
2024/8/22 10:55,9.93,9.95,9.93,9.93,1934,1921170
2024/8/22 11:00,9.93,9.95,9.93,9.93,1630,1619762
2024/8/22 11:05,9.93,9.95,9.9,9.91,3521,3490676
2024/8/22 11:10,9.9,9.91,9.88,9.9,3464,3427883
2024/8/22 11:15,9.9,9.92,9.9,9.91,749,742143
2024/8/22 11:20,9.91,9.92,9.9,9.92,784,777038
2024/8/22 11:25,9.92,9.93,9.91,9.91,883,875824
2024/8/22 11:30,9.92,9.92,9.9,9.92,986,977208
2024/8/22 13:05,9.93,9.93,9.91,9.92,1353,1342535
2024/8/22 13:10,9.92,9.92,9.9,9.91,754,747372
2024/8/22 13:15,9.9,9.92,9.9,9.9,943,934438
2024/8/22 13:20,9.9,9.91,9.89,9.9,1986,1966223
2024/8/22 13:25,9.9,9.91,9.89,9.91,1590,1573958
2024/8/22 13:30,9.91,9.92,9.9,9.92,1203,1192535
2024/8/22 13:35,9.91,9.92,9.9,9.92,813,805967
2024/8/22 13:40,9.91,9.92,9.89,9.89,1908,1889524
2024/8/22 13:45,9.89,9.9,9.88,9.88,2846,2814637
2024/8/22 13:50,9.89,9.89,9.87,9.88,2326,2297878
2024/8/22 13:55,9.88,9.88,9.85,9.86,3234,3188702
2024/8/22 14:00,9.85,9.86,9.83,9.83,2000,1969115
2024/8/22 14:05,9.83,9.84,9.81,9.83,6481,6367009
2024/8/22 14:10,9.84,9.84,9.8,9.81,5023,4930721
2024/8/22 14:15,9.81,9.81,9.78,9.78,5599,5483942
2024/8/22 14:20,9.78,9.81,9.78,9.81,2331,2285162
2024/8/22 14:25,9.8,9.83,9.79,9.81,1805,1769936
2024/8/22 14:30,9.81,9.83,9.8,9.81,2327,2284382
2024/8/22 14:35,9.82,9.82,9.8,9.8,1799,1764103
2024/8/22 14:40,9.8,9.81,9.79,9.8,1539,1507667
2024/8/22 14:45,9.8,9.81,9.79,9.81,1389,1361187
2024/8/22 14:50,9.81,9.82,9.79,9.81,2072,2031823
2024/8/22 14:55,9.81,9.82,9.8,9.8,2027,1987621
2024/8/22 15:00,9.8,9.82,9.8,9.82,2665,2615001
2024/8/23 9:35,9.81,9.85,9.75,9.81,6235,6105743
2024/8/23 9:40,9.81,9.83,9.78,9.8,2243,2200471
2024/8/23 9:45,9.79,9.86,9.79,9.86,2667,2621868
2024/8/23 9:50,9.86,9.89,9.83,9.86,2251,2218540
2024/8/23 9:55,9.86,9.87,9.83,9.83,1575,1550820
2024/8/23 10:00,9.83,9.83,9.8,9.81,596,584962
2024/8/23 10:05,9.8,9.81,9.78,9.79,946,927116
2024/8/23 10:10,9.79,9.83,9.79,9.82,1309,1285150
2024/8/23 10:15,9.82,9.84,9.8,9.83,1577,1551249
2024/8/23 10:20,9.84,9.85,9.83,9.83,734,722291
2024/8/23 10:25,9.83,9.84,9.81,9.81,794,779853
2024/8/23 10:30,9.81,9.81,9.8,9.8,419,410959
2024/8/23 10:35,9.8,9.82,9.79,9.8,1118,1095862
2024/8/23 10:40,9.81,9.84,9.81,9.82,476,467581
2024/8/23 10:45,9.82,9.83,9.81,9.81,382,375004
2024/8/23 10:50,9.81,9.82,9.81,9.82,274,269004
2024/8/23 10:55,9.82,9.82,9.8,9.81,328,321782
2024/8/23 11:00,9.82,9.82,9.8,9.8,920,902202
2024/8/23 11:05,9.8,9.83,9.79,9.81,317,310991
2024/8/23 11:10,9.82,9.85,9.81,9.83,543,534054
2024/8/23 11:15,9.83,9.86,9.83,9.85,424,417600
2024/8/23 11:20,9.84,9.88,9.82,9.88,1030,1015443
2024/8/23 11:25,9.88,9.9,9.87,9.88,1631,1612142
2024/8/23 11:30,9.88,9.88,9.85,9.86,708,698670
2024/8/23 13:05,9.88,9.88,9.83,9.84,1018,1003023
2024/8/23 13:10,9.83,9.83,9.81,9.81,806,791851
2024/8/23 13:15,9.81,9.84,9.81,9.84,645,633856
2024/8/23 13:20,9.84,9.84,9.81,9.84,443,435324
2024/8/23 13:25,9.82,9.85,9.82,9.83,560,550859
2024/8/23 13:30,9.83,9.85,9.83,9.84,454,446808
2024/8/23 13:35,9.84,9.86,9.83,9.85,1063,1046462
2024/8/23 13:40,9.84,9.86,9.84,9.85,688,677497
2024/8/23 13:45,9.85,9.87,9.85,9.85,926,912863
2024/8/23 13:50,9.85,9.86,9.83,9.85,440,433251
2024/8/23 13:55,9.83,9.86,9.82,9.82,911,895498
2024/8/23 14:00,9.84,9.84,9.8,9.8,2245,2202275
2024/8/23 14:05,9.8,9.81,9.77,9.77,1748,1711494
2024/8/23 14:10,9.79,9.79,9.76,9.76,1798,1756498
2024/8/23 14:15,9.76,9.79,9.76,9.79,1236,1207886
2024/8/23 14:20,9.77,9.81,9.77,9.8,588,575275
2024/8/23 14:25,9.79,9.8,9.78,9.78,399,390550
2024/8/23 14:30,9.8,9.8,9.78,9.8,721,705503
2024/8/23 14:35,9.8,9.82,9.79,9.81,654,641272
2024/8/23 14:40,9.81,9.83,9.8,9.81,497,487503
2024/8/23 14:45,9.81,9.82,9.8,9.82,523,513254
2024/8/23 14:50,9.8,9.83,9.8,9.83,799,784216
2024/8/23 14:55,9.83,9.84,9.81,9.82,2150,2112695
2024/8/23 15:00,9.84,9.84,9.82,9.82,922,905542
2024/8/26 9:35,9.83,9.84,9.72,9.74,3488,3407579
2024/8/26 9:40,9.73,9.75,9.71,9.74,3077,2993159
2024/8/26 9:45,9.73,9.82,9.73,9.82,1445,1413972
2024/8/26 9:50,9.81,9.85,9.78,9.85,1854,1821075
2024/8/26 9:55,9.84,9.86,9.81,9.82,1371,1348275
2024/8/26 10:00,9.82,9.85,9.8,9.83,1660,1631593
2024/8/26 10:05,9.83,9.86,9.83,9.85,1449,1426677
2024/8/26 10:10,9.86,9.89,9.85,9.88,2491,2456975
2024/8/26 10:15,9.88,9.88,9.83,9.85,880,867455
2024/8/26 10:20,9.85,9.86,9.83,9.85,878,863797
2024/8/26 10:25,9.85,9.87,9.84,9.85,861,848744
2024/8/26 10:30,9.86,9.87,9.85,9.86,1062,1047250
2024/8/26 10:35,9.85,9.87,9.84,9.85,1128,1111544
2024/8/26 10:40,9.84,9.85,9.81,9.82,1022,1004039
2024/8/26 10:45,9.83,9.83,9.81,9.81,462,453564
2024/8/26 10:50,9.81,9.81,9.79,9.79,660,646866
2024/8/26 10:55,9.79,9.82,9.79,9.81,656,643344
2024/8/26 11:00,9.81,9.81,9.78,9.79,589,576782
2024/8/26 11:05,9.79,9.79,9.76,9.78,1052,1028891
2024/8/26 11:10,9.79,9.79,9.78,9.78,439,429376
2024/8/26 11:15,9.78,9.79,9.77,9.78,273,266992
2024/8/26 11:20,9.79,9.8,9.77,9.78,697,682053
2024/8/26 11:25,9.78,9.79,9.78,9.79,844,826132
2024/8/26 11:30,9.78,9.8,9.77,9.78,929,908711
2024/8/26 13:05,9.79,9.79,9.77,9.77,921,900205
2024/8/26 13:10,9.78,9.78,9.77,9.78,186,181819
2024/8/26 13:15,9.78,9.79,9.77,9.79,482,471638
2024/8/26 13:20,9.79,9.81,9.79,9.79,439,430276
2024/8/26 13:25,9.79,9.81,9.79,9.79,501,490671
2024/8/26 13:30,9.8,9.8,9.79,9.8,95,93098
2024/8/26 13:35,9.79,9.8,9.79,9.79,202,197776
2024/8/26 13:40,9.79,9.79,9.77,9.78,447,437167
2024/8/26 13:45,9.77,9.79,9.77,9.78,225,220068
2024/8/26 13:50,9.79,9.79,9.77,9.78,620,606274
2024/8/26 13:55,9.77,9.78,9.77,9.78,265,259106
2024/8/26 14:00,9.78,9.79,9.78,9.78,390,381440
2024/8/26 14:05,9.77,9.78,9.77,9.78,275,268888
2024/8/26 14:10,9.78,9.79,9.77,9.78,888,868609
2024/8/26 14:15,9.78,9.79,9.77,9.78,617,603625
2024/8/26 14:20,9.77,9.78,9.76,9.76,1067,1042333
2024/8/26 14:25,9.76,9.79,9.76,9.77,405,395876
2024/8/26 14:30,9.79,9.79,9.77,9.78,699,683635
2024/8/26 14:35,9.79,9.81,9.78,9.81,1016,994971
2024/8/26 14:40,9.81,9.82,9.8,9.8,1507,1478486
2024/8/26 14:45,9.8,9.8,9.79,9.8,866,848531
2024/8/26 14:50,9.8,9.81,9.79,9.8,443,434167
2024/8/26 14:55,9.81,9.82,9.8,9.81,867,850160
2024/8/26 15:00,9.81,9.82,9.8,9.82,1020,1001599
2024/8/27 9:35,9.75,9.79,9.74,9.78,3295,3216408
2024/8/27 9:40,9.78,9.81,9.75,9.79,1741,1701995
2024/8/27 9:45,9.79,9.81,9.76,9.76,1248,1220948
2024/8/27 9:50,9.76,9.77,9.75,9.75,1114,1086882
2024/8/27 9:55,9.75,9.76,9.72,9.73,2379,2316659
2024/8/27 10:00,9.73,9.73,9.66,9.67,5890,5713088
2024/8/27 10:05,9.67,9.67,9.64,9.65,2879,2778367
2024/8/27 10:10,9.65,9.69,9.64,9.68,2059,1990830
2024/8/27 10:15,9.67,9.69,9.66,9.66,696,673371
2024/8/27 10:20,9.66,9.68,9.66,9.67,387,374292
2024/8/27 10:25,9.68,9.68,9.67,9.68,500,483729
2024/8/27 10:30,9.67,9.68,9.66,9.66,1016,982591
2024/8/27 10:35,9.67,9.71,9.66,9.69,2360,2285796
2024/8/27 10:40,9.69,9.71,9.69,9.71,610,591307
2024/8/27 10:45,9.69,9.71,9.66,9.66,776,751204
2024/8/27 10:50,9.66,9.68,9.66,9.67,1128,1090652
2024/8/27 10:55,9.67,9.69,9.67,9.68,794,768548
2024/8/27 11:00,9.68,9.68,9.66,9.67,1465,1416400
2024/8/27 11:05,9.67,9.67,9.66,9.66,1020,986056
2024/8/27 11:10,9.67,9.67,9.66,9.66,1084,1047774
2024/8/27 11:15,9.66,9.67,9.66,9.66,202,195195
2024/8/27 11:20,9.66,9.68,9.66,9.68,244,235829
2024/8/27 11:25,9.68,9.7,9.67,9.68,481,465929
2024/8/27 11:30,9.69,9.7,9.67,9.67,1430,1384393
2024/8/27 13:05,9.67,9.69,9.65,9.65,2864,2767477
2024/8/27 13:10,9.65,9.66,9.65,9.65,745,719014
2024/8/27 13:15,9.66,9.66,9.65,9.65,379,365956
2024/8/27 13:20,9.66,9.67,9.65,9.67,357,344911
2024/8/27 13:25,9.66,9.68,9.66,9.68,203,196259
2024/8/27 13:30,9.68,9.68,9.66,9.66,717,693121
2024/8/27 13:35,9.66,9.67,9.66,9.67,155,149798
2024/8/27 13:40,9.67,9.68,9.66,9.67,350,338444
2024/8/27 13:45,9.68,9.68,9.66,9.67,284,274569
2024/8/27 13:50,9.68,9.68,9.66,9.66,789,762883
2024/8/27 13:55,9.66,9.67,9.66,9.66,210,202927
2024/8/27 14:00,9.66,9.67,9.65,9.67,1308,1263960
2024/8/27 14:05,9.66,9.67,9.66,9.67,399,385695
2024/8/27 14:10,9.66,9.67,9.66,9.67,233,225118
2024/8/27 14:15,9.67,9.67,9.65,9.66,1214,1172290
2024/8/27 14:20,9.66,9.67,9.65,9.67,752,726377
2024/8/27 14:25,9.67,9.67,9.65,9.66,1297,1253040
2024/8/27 14:30,9.66,9.67,9.66,9.66,464,448360
2024/8/27 14:35,9.66,9.67,9.64,9.65,2474,2388191
2024/8/27 14:40,9.66,9.66,9.64,9.65,1516,1463224
2024/8/27 14:45,9.65,9.67,9.65,9.65,635,613312
2024/8/27 14:50,9.66,9.67,9.65,9.66,1042,1007307
2024/8/27 14:55,9.66,9.67,9.66,9.66,674,651411
2024/8/27 15:00,9.67,9.68,9.66,9.67,1140,1101826
2024/8/28 9:35,9.66,9.71,9.64,9.66,4140,4003153
2024/8/28 9:40,9.65,9.68,9.63,9.65,1370,1322353
2024/8/28 9:45,9.65,9.65,9.61,9.62,2150,2070818
2024/8/28 9:50,9.61,9.64,9.61,9.61,1176,1131950
2024/8/28 9:55,9.61,9.64,9.6,9.63,2469,2373771
2024/8/28 10:00,9.64,9.65,9.62,9.63,1141,1099787
2024/8/28 10:05,9.64,9.66,9.63,9.66,861,830158
2024/8/28 10:10,9.66,9.69,9.66,9.68,997,964710
2024/8/28 10:15,9.69,9.69,9.65,9.65,559,540337
2024/8/28 10:20,9.65,9.72,9.64,9.7,1771,1715031
2024/8/28 10:25,9.71,9.72,9.7,9.72,940,913066
2024/8/28 10:30,9.72,9.73,9.71,9.72,2214,2150644
2024/8/28 10:35,9.71,9.73,9.71,9.72,528,513378
2024/8/28 10:40,9.72,9.79,9.72,9.76,1897,1851397
2024/8/28 10:45,9.76,9.78,9.75,9.78,589,575053
2024/8/28 10:50,9.78,9.84,9.78,9.83,4936,4842772
2024/8/28 10:55,9.83,9.87,9.83,9.85,2628,2588449
2024/8/28 11:00,9.84,9.85,9.81,9.82,1203,1182313
2024/8/28 11:05,9.83,9.86,9.83,9.83,1411,1388223
2024/8/28 11:10,9.83,9.83,9.81,9.82,309,303303
2024/8/28 11:15,9.81,9.82,9.8,9.81,692,678656
2024/8/28 11:20,9.8,9.81,9.79,9.79,233,228339
2024/8/28 11:25,9.79,9.8,9.78,9.78,348,340735
2024/8/28 11:30,9.79,9.79,9.76,9.77,790,772487
2024/8/28 13:05,9.77,9.79,9.74,9.79,1043,1018033
2024/8/28 13:10,9.79,9.83,9.79,9.8,1207,1183148
2024/8/28 13:15,9.81,9.81,9.79,9.79,352,344965
2024/8/28 13:20,9.79,9.82,9.79,9.81,880,862637
2024/8/28 13:25,9.8,9.81,9.8,9.8,373,365601
2024/8/28 13:30,9.8,9.82,9.79,9.81,658,645143
2024/8/28 13:35,9.8,9.81,9.78,9.79,549,537621
2024/8/28 13:40,9.79,9.81,9.78,9.81,473,463421
2024/8/28 13:45,9.8,9.81,9.8,9.8,420,411721
2024/8/28 13:50,9.8,9.83,9.8,9.82,1138,1117510
2024/8/28 13:55,9.86,9.89,9.86,9.86,7478,7376113
2024/8/28 14:00,9.87,9.87,9.83,9.83,1174,1156760
2024/8/28 14:05,9.83,9.85,9.83,9.83,449,441681
2024/8/28 14:10,9.83,9.84,9.83,9.83,244,239881
2024/8/28 14:15,9.83,9.83,9.81,9.83,658,646477
2024/8/28 14:20,9.82,9.84,9.82,9.82,630,619117
2024/8/28 14:25,9.82,9.84,9.81,9.83,581,570702
2024/8/28 14:30,9.84,9.84,9.82,9.82,648,636531
2024/8/28 14:35,9.82,9.84,9.82,9.84,317,311511
2024/8/28 14:40,9.84,9.85,9.83,9.84,968,952761
2024/8/28 14:45,9.84,9.85,9.83,9.83,385,378772
2024/8/28 14:50,9.84,9.84,9.82,9.83,646,635242
2024/8/28 14:55,9.83,9.85,9.82,9.82,2189,2152741
2024/8/28 15:00,9.83,9.84,9.81,9.82,2308,2267449
2024/8/29 9:35,9.82,9.84,9.75,9.8,4262,4167116
2024/8/29 9:40,9.8,9.81,9.77,9.8,1804,1765329
2024/8/29 9:45,9.8,9.83,9.79,9.82,1056,1035903
2024/8/29 9:50,9.82,9.85,9.79,9.8,1359,1334422
2024/8/29 9:55,9.81,9.84,9.81,9.83,886,870006
2024/8/29 10:00,9.82,9.83,9.81,9.83,934,917431
2024/8/29 10:05,9.83,9.86,9.83,9.85,1196,1177365
2024/8/29 10:10,9.84,9.86,9.84,9.84,930,916152
2024/8/29 10:15,9.84,9.87,9.84,9.87,1256,1238360
2024/8/29 10:20,9.86,9.87,9.84,9.85,1574,1550876
2024/8/29 10:25,9.85,9.87,9.83,9.83,1583,1559557
2024/8/29 10:30,9.83,9.84,9.82,9.82,575,565201
2024/8/29 10:35,9.82,9.84,9.81,9.82,767,753519
2024/8/29 10:40,9.83,9.85,9.82,9.85,815,801758
2024/8/29 10:45,9.85,9.88,9.85,9.87,1169,1153102
2024/8/29 10:50,9.87,9.88,9.85,9.88,1029,1015797
2024/8/29 10:55,9.88,9.91,9.88,9.91,2233,2208715
2024/8/29 11:00,9.91,9.91,9.88,9.89,1150,1137781
2024/8/29 11:05,9.89,9.9,9.87,9.87,595,588109
2024/8/29 11:10,9.87,9.87,9.85,9.85,549,541430
2024/8/29 11:15,9.86,9.87,9.85,9.87,751,740963
2024/8/29 11:20,9.86,9.87,9.85,9.87,437,430959
2024/8/29 11:25,9.86,9.89,9.86,9.86,625,617074
2024/8/29 11:30,9.87,9.89,9.87,9.88,349,344735
